SampleID,PlateID,WellLocation,Row,Column,ScatID
16OP0430,SpID.0092,D11,D,11,PG001
16OP0431,SpID.0092,E11,E,11,PG002
16OP0432,SpID.0092,F11,F,11,PG003
16OP0433,SpID.0092,G11,G,11,PG004
16OP0434,SpID.0092,H11,H,11,PG005
16OP0435,SpID.0092,A12,A,12,PG006
16OP0436,SpID.0092,B12,B,12,PG007
16OP0437,SpID.0092,C12,C,12,PG008
16OP0438,SpID.0092,D12,D,12,PG009
16OP0439,SpID.0092,E12,E,12,PG010
16OP0440,SpID.0092,F12,F,12,PG011
16OP0441,SpID.0092,G12,G,12,PG012
16OP0442,SpID.0093,B01,B,1,PG013
16OP0443,SpID.0093,C01,C,1,PG014
16OP0444,SpID.0093,D01,D,1,PG015
16OP0445,SpID.0093,E01,E,1,PG016
16OP0446,SpID.0093,F01,F,1,PG017
16OP0447,SpID.0093,G01,G,1,PG018
16OP0448,SpID.0093,H01,H,1,PG019
16OP0449,SpID.0093,A02,A,2,PG020
16OP0450,SpID.0093,B02,B,2,PG021
16OP0451,SpID.0093,C02,C,2,PG022
16OP0452,SpID.0093,D02,D,2,PG023
16OP0453,SpID.0093,E02,E,2,PG024
16OP0454,SpID.0093,F02,F,2,PG025
16OP0455,SpID.0093,G02,G,2,PG026
16OP0456,SpID.0093,H02,H,2,PG027
16OP0457,SpID.0093,A03,A,3,PG028
16OP0458,SpID.0093,C03,C,3,PG029
16OP0459,SpID.0093,D03,D,3,PG030
16OP0460,SpID.0093,E03,E,3,PG031
16OP0461,SpID.0093,F03,F,3,PG032
16OP0462,SpID.0093,G03,G,3,PG033
16OP0463,SpID.0093,H03,H,3,PG034
16OP0464,SpID.0093,A04,A,4,PG035
16OP0465,SpID.0093,B04,B,4,PG036
16OP0466,SpID.0093,C04,C,4,PG037
16OP0467,SpID.0093,D04,D,4,PG038
16OP0468,SpID.0093,E04,E,4,PG039
16OP0469,SpID.0093,F04,F,4,PG040
16OP0470,SpID.0093,G04,G,4,PG041
16OP0471,SpID.0093,H04,H,4,PG042
16OP0472,SpID.0093,A05,A,5,PG043
16OP0473,SpID.0093,B05,B,5,PG044
16OP0474,SpID.0093,D05,D,5,PG045
16OP0475,SpID.0093,E05,E,5,PG046
16OP0476,SpID.0093,F05,F,5,PG047
16OP0477,SpID.0093,G05,G,5,PG048
16OP0478,SpID.0093,H05,H,5,PG049
16OP0479,SpID.0093,A06,A,6,PG050
16OP0480,SpID.0093,B06,B,6,PG051
16OP0481,SpID.0093,C06,C,6,PG052
16OP0482,SpID.0093,E06,E,6,PG053
16OP0483,SpID.0093,F06,F,6,PG054
16OP0484,SpID.0093,G06,G,6,PG055
16OP0485,SpID.0093,H06,H,6,PG056
16OP0486,SpID.0093,A07,A,7,PG057
16OP0487,SpID.0093,B07,B,7,PG058
16MA0001,SpID.0075,B01,B,1,Pv16-001
16MA0002,SpID.0075,C01,C,1,Pv16-002
16MA0003,SpID.0075,D01,D,1,Pv16-003
16MA0004,SpID.0075,E01,E,1,Pv16-004
16MA0005,SpID.0075,F01,F,1,Pv16-005
16MA0006,SpID.0075,G01,G,1,Pv16-006
16MA0007,SpID.0075,H01,H,1,Pv16-007
16MA0008,SpID.0075,A02,A,2,Pv16-008
16MA0009,SpID.0075,B02,B,2,Pv16-009
16MA0010,SpID.0075,C02,C,2,Pv16-010
16MA0011,SpID.0075,D02,D,2,Pv16-011
16MA0012,SpID.0075,E02,E,2,Pv16-012
16MA0013,SpID.0075,F02,F,2,Pv16-013
16MA0014,SpID.0075,G02,G,2,Pv16-014
16MA0015,SpID.0075,H02,H,2,Pv16-015
16MA0016,SpID.0075,A03,A,3,Pv16-016
16MA0017,SpID.0075,C03,C,3,Pv16-017
16MA0018,SpID.0075,D03,D,3,Pv16-018
16MA0019,SpID.0075,E03,E,3,Pv16-019
16MA0020,SpID.0075,F03,F,3,Pv16-020
16MA0021,SpID.0075,G03,G,3,Pv16-021
16MA0022,SpID.0075,H03,H,3,Pv16-022
16MA0023,SpID.0075,A04,A,4,Pv16-023
16MA0024,SpID.0075,B04,B,4,Pv16-024
16MA0025,SpID.0075,C04,C,4,Pv16-025
16MA0026,SpID.0075,D04,D,4,Pv16-026
16MA0027,SpID.0075,E04,E,4,Pv16-027
16MA0028,SpID.0075,F04,F,4,Pv16-028
16MA0029,SpID.0075,G04,G,4,Pv16-029
16MA0030,SpID.0075,H04,H,4,Pv16-030
16MA0031,SpID.0075,A05,A,5,Pv16-031
16MA0032,SpID.0075,B05,B,5,Pv16-032
16MA0033,SpID.0075,D05,D,5,Pv16-033
16MA0034,SpID.0075,E05,E,5,Pv16-034
16MA0035,SpID.0075,F05,F,5,Pv16-035
16MA0036,SpID.0075,G05,G,5,Pv16-036
16MA0037,SpID.0075,H05,H,5,Pv16-037
16MA0038,SpID.0075,A06,A,6,Pv16-038
16MA0039,SpID.0075,B06,B,6,Pv16-039
16MA0040,SpID.0075,C06,C,6,Pv16-040
16MA0041,SpID.0075,E06,E,6,Pv16-041
16MA0042,SpID.0075,F06,F,6,Pv16-042
16MA0043,SpID.0075,G06,G,6,Pv16-043
16MA0044,SpID.0075,H06,H,6,Pv16-044
16MA0045,SpID.0075,A07,A,7,Pv16-045
16MA0046,SpID.0075,B07,B,7,Pv16-046
16MA0047,SpID.0075,C07,C,7,Pv16-047
16MA0048,SpID.0075,D07,D,7,Pv16-048
16MA0049,SpID.0075,F07,F,7,Pv16-049
16MA0050,SpID.0075,G07,G,7,Pv16-050
16MA0051,SpID.0075,H07,H,7,Pv16-051
16MA0052,SpID.0075,A08,A,8,Pv16-052
16MA0053,SpID.0075,B08,B,8,Pv16-053
16MA0054,SpID.0075,C08,C,8,Pv16-054
16MA0055,SpID.0075,D08,D,8,Pv16-055
16MA0056,SpID.0075,E08,E,8,Pv16-056
16MA0057,SpID.0075,F08,F,8,Pv16-057
16MA0058,SpID.0075,G08,G,8,Pv16-058
16MA0059,SpID.0075,H08,H,8,Pv16-059
16MA0060,SpID.0075,A09,A,9,Pv16-060
16MA0061,SpID.0075,B09,B,9,Pv16-061
16MA0062,SpID.0075,C09,C,9,Pv16-062
16MA0063,SpID.0075,D09,D,9,Pv16-064
16MA0064,SpID.0075,E09,E,9,Pv16-065
16MA0065,SpID.0075,G09,G,9,Pv16-066
16MA0066,SpID.0075,H09,H,9,Pv16-067
16MA0067,SpID.0075,A10,A,10,Pv16-068
16MA0068,SpID.0075,B10,B,10,Pv16-069
16MA0069,SpID.0075,C10,C,10,Pv16-070
16MA0070,SpID.0075,D10,D,10,Pv16-071
16MA0071,SpID.0075,E10,E,10,Pv16-072
16MA0072,SpID.0075,F10,F,10,Pv16-073
16MA0073,SpID.0075,H10,H,10,Pv16-074
16MA0074,SpID.0075,A11,A,11,Pv16-075
16MA0075,SpID.0075,B11,B,11,Pv16-076
16MA0076,SpID.0075,C11,C,11,Pv16-077
16MA0077,SpID.0075,D11,D,11,Pv16-078
16MA0078,SpID.0075,E11,E,11,Pv16-079
16MA0079,SpID.0075,F11,F,11,Pv16-080
16MA0080,SpID.0075,G11,G,11,Pv16-081
16MA0081,SpID.0075,H11,H,11,Pv16-082
16MA0082,SpID.0075,A12,A,12,Pv16-083
16MA0083,SpID.0075,B12,B,12,Pv16-084
16MA0084,SpID.0075,C12,C,12,Pv16-085
16MA0085,SpID.0075,D12,D,12,Pv16-086
16MA0086,SpID.0075,E12,E,12,Pv16-088
16MA0087,SpID.0075,F12,F,12,Pv16-089
16MA0088,SpID.0075,G12,G,12,Pv16-090
16MA0089,SpID.0076,B01,B,1,Pv16-091
16MA0090,SpID.0076,C01,C,1,Pv16-092
16MA0091,SpID.0076,D01,D,1,Pv16-093
16MA0092,SpID.0076,E01,E,1,Pv16-094
16MA0093,SpID.0076,F01,F,1,Pv16-095
16MA0094,SpID.0076,G01,G,1,Pv16-096
16MA0095,SpID.0076,H01,H,1,Pv16-097
16MA0096,SpID.0076,A02,A,2,Pv16-098
16MA0097,SpID.0076,B02,B,2,Pv16-099
16MA0098,SpID.0076,C02,C,2,Pv16-100
16MA0099,SpID.0076,D02,D,2,Pv16-101
16MA0100,SpID.0076,E02,E,2,Pv16-102
16MA0101,SpID.0076,F02,F,2,Pv16-103
16MA0102,SpID.0076,G02,G,2,Pv16-104
16MA0103,SpID.0076,H02,H,2,Pv16-105
16MA0104,SpID.0076,A03,A,3,Pv16-106
16MA0105,SpID.0076,C03,C,3,Pv16-107
16MA0106,SpID.0076,D03,D,3,Pv16-108
16MA0107,SpID.0076,E03,E,3,Pv16-109
16MA0108,SpID.0076,F03,F,3,Pv16-110
16MA0109,SpID.0076,G03,G,3,Pv16-111
16MA0110,SpID.0076,H03,H,3,Pv16-112
16MA0111,SpID.0076,A04,A,4,Pv16-113
16MA0112,SpID.0076,B04,B,4,Pv16-114
16MA0113,SpID.0076,C04,C,4,Pv16-115
16MA0114,SpID.0076,D04,D,4,Pv16-116
16MA0115,SpID.0076,E04,E,4,Pv16-117
16MA0116,SpID.0076,F04,F,4,Pv16-118
16MA0117,SpID.0076,G04,G,4,Pv16-119
16MA0118,SpID.0076,H04,H,4,Pv16-120
16MA0119,SpID.0076,A05,A,5,Pv16-121
16MA0120,SpID.0076,B05,B,5,Pv16-122
16MA0121,SpID.0076,D05,D,5,Pv16-123
16MA0122,SpID.0076,E05,E,5,Pv16-124
16MA0123,SpID.0076,F05,F,5,Pv16-125
16MA0124,SpID.0076,G05,G,5,Pv16-126
16MA0125,SpID.0076,H05,H,5,Pv16-127
16MA0126,SpID.0076,A06,A,6,Pv16-128
16MA0127,SpID.0076,B06,B,6,Pv16-129
16MA0128,SpID.0076,C06,C,6,Pv16-130
16MA0129,SpID.0076,E06,E,6,Pv16-131
16MA0130,SpID.0076,F06,F,6,Pv16-132
16MA0131,SpID.0076,G06,G,6,Pv16-133
16MA0132,SpID.0076,H06,H,6,Pv16-134
16MA0133,SpID.0076,A07,A,7,Pv16-135
16MA0134,SpID.0076,B07,B,7,Pv16-136
16MA0135,SpID.0076,C07,C,7,Pv16-137
16MA0136,SpID.0076,D07,D,7,Pv16-138
16MA0137,SpID.0076,F07,F,7,Pv16-139
16MA0138,SpID.0076,G07,G,7,Pv16-140
16MA0139,SpID.0076,H07,H,7,Pv16-141
16MA0140,SpID.0076,A08,A,8,Pv16-142
16MA0141,SpID.0076,B08,B,8,Pv16-143
16MA0142,SpID.0076,C08,C,8,Pv16-144
16MA0143,SpID.0076,D08,D,8,Pv16-145
16MA0144,SpID.0076,E08,E,8,Pv16-146
16MA0145,SpID.0076,F08,F,8,Pv16-147
16MA0146,SpID.0076,G08,G,8,Pv16-148
16MA0147,SpID.0076,H08,H,8,Pv16-149
16MA0148,SpID.0076,A09,A,9,Pv16-150
16MA0149,SpID.0076,B09,B,9,Pv16-151
16MA0150,SpID.0076,C09,C,9,Pv16-152
16MA0151,SpID.0076,D09,D,9,Pv16-153
16MA0152,SpID.0076,E09,E,9,Pv16-154
16MA0153,SpID.0076,G09,G,9,Pv16-155
16MA0154,SpID.0076,H09,H,9,Pv16-156
16MA0155,SpID.0076,A10,A,10,Pv16-157
16MA0156,SpID.0076,B10,B,10,Pv16-158
16MA0157,SpID.0076,C10,C,10,Pv16-159
16MA0158,SpID.0076,D10,D,10,Pv16-160
16MA0159,SpID.0076,E10,E,10,Pv16-161
16MA0160,SpID.0076,F10,F,10,Pv16-162
16MA0161,SpID.0076,H10,H,10,Pv16-163
16MA0162,SpID.0076,A11,A,11,Pv16-164
16MA0163,SpID.0076,B11,B,11,Pv16-165
16MA0164,SpID.0076,C11,C,11,Pv16-166
16MA0165,SpID.0076,D11,D,11,Pv16-167
16MA0166,SpID.0076,E11,E,11,Pv16-168
16MA0167,SpID.0076,F11,F,11,Pv16-169
16MA0168,SpID.0076,G11,G,11,Pv16-170
16MA0169,SpID.0076,H11,H,11,Pv16-171
16MA0170,SpID.0076,A12,A,12,Pv16-172
16MA0171,SpID.0076,B12,B,12,Pv16-173
16MA0172,SpID.0076,C12,C,12,Pv16-174
16MA0173,SpID.0076,D12,D,12,Pv16-175
16MA0174,SpID.0076,E12,E,12,Pv16-176
16MA0175,SpID.0076,F12,F,12,Pv16-177
16MA0176,SpID.0076,G12,G,12,Pv16-178
16MA0177,SpID.0077,B01,B,1,Pv16-179
16MA0178,SpID.0077,C01,C,1,Pv16-180
16MA0179,SpID.0077,D01,D,1,Pv16-181
16MA0180,SpID.0077,E01,E,1,Pv16-182
16MA0181,SpID.0077,F01,F,1,Pv16-183
16MA0182,SpID.0077,G01,G,1,Pv16-184
16MA0183,SpID.0077,H01,H,1,Pv16-185
16MA0184,SpID.0077,A02,A,2,Pv16-186
16MA0185,SpID.0077,B02,B,2,Pv16-187
16MA0186,SpID.0077,C02,C,2,Pv16-188
16MA0187,SpID.0077,D02,D,2,Pv16-189
16MA0188,SpID.0077,E02,E,2,Pv16-190
16MA0189,SpID.0077,F02,F,2,Pv16-191
