Collection_Date,Collection_Location,Sample_ID
21-Mar-16,Woodard Bay,Pv16-001
21-Mar-16,Woodard Bay,Pv16-002
21-Mar-16,Woodard Bay,Pv16-003
21-Mar-16,Woodard Bay,Pv16-004
21-Mar-16,Woodard Bay,Pv16-005
21-Mar-16,Eagle Island,Pv16-006
21-Mar-16,Eagle Island,Pv16-007
21-Mar-16,Still Harbor,Pv16-008
21-Mar-16,Still Harbor,Pv16-009
18-Mar-16,Eagle Island,Pv16-010
18-Mar-16,Eagle Island,Pv16-011
18-Mar-16,Eagle Island,Pv16-012
18-Mar-16,Still Harbor,Pv16-013
18-Mar-16,Cutts Island,Pv16-014
18-Mar-16,Cutts Island,Pv16-015
18-Mar-16,Cutts Island,Pv16-016
18-Mar-16,Woodard Bay,Pv16-017
18-Mar-16,Woodard Bay,Pv16-018
18-Mar-16,Woodard Bay,Pv16-019
18-Mar-16,Woodard Bay,Pv16-020
18-Mar-16,Woodard Bay,Pv16-021
18-Mar-16,Woodard Bay,Pv16-022
18-Mar-16,Woodard Bay,Pv16-023
18-Mar-16,Woodard Bay,Pv16-024
18-Mar-16,Woodard Bay,Pv16-025
18-Mar-16,Woodard Bay,Pv16-026
18-Mar-16,Woodard Bay,Pv16-027
18-Mar-16,Woodard Bay,Pv16-028
18-Mar-16,Woodard Bay,Pv16-029
18-Mar-16,Woodard Bay,Pv16-030
5-Feb-16,Eagle Island,Pv16-031
5-Feb-16,Eagle Island,Pv16-032
5-Feb-16,Eagle Island,Pv16-033
5-Feb-16,Eagle Island,Pv16-034
5-Feb-16,Eagle Island,Pv16-035
5-Feb-16,Eagle Island,Pv16-036
5-Feb-16,Eagle Island,Pv16-037
5-Feb-16,Eagle Island,Pv16-038
5-Feb-16,Eagle Island,Pv16-039
5-Feb-16,Eagle Island,Pv16-040
5-Feb-16,Eagle Island,Pv16-041
5-Feb-16,Eagle Island,Pv16-042
5-Feb-16,Eagle Island,Pv16-043
5-Feb-16,Eagle Island,Pv16-044
5-Feb-16,Eagle Island,Pv16-045
5-Feb-16,Eagle Island,Pv16-046
5-Feb-16,Eagle Island,Pv16-047
5-Feb-16,Eagle Island,Pv16-048
5-Feb-16,Eagle Island,Pv16-049
5-Feb-16,Eagle Island,Pv16-050
5-Feb-16,Eagle Island,Pv16-051
5-Feb-16,Woodard Bay,Pv16-052
5-Feb-16,Woodard Bay,Pv16-053
5-Feb-16,Woodard Bay,Pv16-054
5-Feb-16,Woodard Bay,Pv16-055
5-Feb-16,Woodard Bay,Pv16-056
5-Feb-16,Woodard Bay,Pv16-057
5-Feb-16,Woodard Bay,Pv16-058
5-Feb-16,Woodard Bay,Pv16-059
5-Feb-16,Woodard Bay,Pv16-060
5-Feb-16,Woodard Bay,Pv16-061
5-Feb-16,Woodard Bay,Pv16-062
5-Feb-16,Woodard Bay,Pv16-063
5-Feb-16,Woodard Bay,Pv16-064
5-Feb-16,Woodard Bay,Pv16-065
5-Feb-16,Woodard Bay,Pv16-066
5-Feb-16,Woodard Bay,Pv16-067
5-Feb-16,Woodard Bay,Pv16-068
5-Feb-16,Woodard Bay,Pv16-069
5-Feb-16,Woodard Bay,Pv16-070
5-Feb-16,Woodard Bay,Pv16-071
5-Feb-16,Woodard Bay,Pv16-072
5-Feb-16,Woodard Bay,Pv16-073
5-Feb-16,Woodard Bay,Pv16-074
5-Feb-16,Woodard Bay,Pv16-075
5-Feb-16,Woodard Bay,Pv16-076
5-Feb-16,Woodard Bay,Pv16-077
5-Feb-16,Woodard Bay,Pv16-078
5-Feb-16,Woodard Bay,Pv16-079
5-Feb-16,Woodard Bay,Pv16-080
5-Feb-16,Woodard Bay,Pv16-081
5-Feb-16,Woodard Bay,Pv16-082
5-Feb-16,Woodard Bay,Pv16-083
,,Pv16-084
5-Feb-16,Woodard Bay,Pv16-085
5-Feb-16,Woodard Bay,Pv16-086
,,Pv16-087
5-Feb-16,Woodard Bay,Pv16-088
22-Apr-16,Clam Bay,Pv16-089
5-Feb-16,Seal Beach,Pv16-090
5-Feb-16,Seal Beach,Pv16-091
5-Feb-16,Still Harbor,Pv16-092
5-Feb-16,Still Harbor,Pv16-093
5-Feb-16,Still Harbor,Pv16-094
5-Feb-16,Still Harbor,Pv16-095
5-Feb-16,Still Harbor,Pv16-096
5-Feb-16,Still Harbor,Pv16-097
5-Feb-16,Still Harbor,Pv16-098
1-Feb-16,Still Harbor,Pv16-099
1-Feb-16,Still Harbor,Pv16-100
1-Feb-16,Still Harbor,Pv16-101
