"indiv","sample_type","Run","SampleID","Population","Collection_Location","day","month","year","Genotyped_Loci","GTperc","SRY_gt","ZFX_gt","ZFY_gt","SRY","ZFX","ZFY","Sex_gt","Sex_reads","Known_Sex","Estimated_AgeClass"
"18OO0001","feces","Sep2024","Pv18-0013","SPS","Commencement Bay","26","Apr","2018",23,19.83,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0002","feces","Sep2024","Pv18-0014","SPS","Commencement Bay","26","Apr","2018",107,92.24,"T","G","A",476,35,32,"Male","Male","Unk",""
"18OO0003","feces","Sep2024","Pv18-0015","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0004","feces","Sep2024","Pv18-0016","SPS","Commencement Bay","26","Apr","2018",17,14.66,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18OO0005","feces","Sep2024","Pv18-0017","SPS","Commencement Bay","26","Apr","2018",14,12.07,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0006","feces","Sep2024","Pv18-0018","SPS","Commencement Bay","26","Apr","2018",23,19.83,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0007","feces","Sep2024","Pv18-0019","SPS","Commencement Bay","26","Apr","2018",67,57.76,NA,"G",NA,0,7,0,"Female","Female","Unk",""
"18OO0008","feces","Sep2024","Pv18-0020","SPS","Commencement Bay","26","Apr","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0009","feces","Sep2024","Pv18-0021","SPS","Commencement Bay","26","Apr","2018",13,11.21,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0010","feces","Sep2024","Pv18-0022","SPS","Commencement Bay","26","Apr","2018",5,4.31,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0011","feces","Sep2024","Pv18-0023","SPS","Commencement Bay","26","Apr","2018",80,68.97,"T",NA,NA,24,1,2,"Male","Male","Unk",""
"18OO0012","feces","Sep2024","Pv18-0024","SPS","Commencement Bay","26","Apr","2018",26,22.41,NA,NA,NA,0,1,2,NA,"Maybe_Male","Unk",""
"18OO0013","feces","Sep2024","Pv18-0025","SPS","Commencement Bay","26","Apr","2018",12,10.34,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0014","feces","Sep2024","Pv18-0026","SPS","Commencement Bay","26","Apr","2018",31,26.72,"T","G",NA,6,3,0,"Male","Male","Unk",""
"18OO0015","feces","Sep2024","Pv18-0027","SPS","Commencement Bay","26","Apr","2018",102,87.93,"T","G","A",137,8,6,"Male","Male","Unk",""
"18OO0016","feces","Sep2024","Pv18-0028","SPS","Commencement Bay","26","Apr","2018",9,7.76,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0017","feces","Sep2024","Pv18-0029","SPS","Commencement Bay","26","Apr","2018",7,6.03,"T",NA,NA,5,0,2,"Male","Male","Unk",""
"18OO0018","feces","Sep2024","Pv18-0030","SPS","Commencement Bay","26","Apr","2018",6,5.17,"T",NA,NA,4,1,0,"Male","Male","Unk",""
"18OO0019","feces","Sep2024","Pv18-0031","SPS","Commencement Bay","26","Apr","2018",20,17.24,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0020","feces","Sep2024","Pv18-0032","SPS","Commencement Bay","26","Apr","2018",105,90.52,"T","G","A",154,10,10,"Male","Male","Unk",""
"18OO0021","feces","Sep2024","Pv18-0033","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0022","feces","Sep2024","Pv18-0034","SPS","Commencement Bay","26","Apr","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0023","feces","Sep2024","Pv18-0035","SPS","Commencement Bay","26","Apr","2018",3,2.59,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0024","feces","Sep2024","Pv18-0036","SPS","Commencement Bay","26","Apr","2018",85,73.28,"T","G","A",62,8,13,"Male","Male","Unk",""
"18OO0025","feces","Sep2024","Pv18-0037","SPS","Commencement Bay","26","Apr","2018",7,6.03,"T",NA,NA,5,1,0,"Male","Male","Unk",""
"18OO0026","feces","Sep2024","Pv18-0038","SPS","Commencement Bay","26","Apr","2018",99,85.34,"T","G","A",99,4,5,"Male","Male","Unk",""
"18OO0044","feces","Sep2024","Pv18-0056","SPS","Commencement Bay","7","May","2018",4,3.45,"T",NA,NA,3,1,1,"Male","Male","Unk",""
"18OO0045","feces","Sep2024","Pv18-0057","SPS","Commencement Bay","7","May","2018",10,8.62,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0046","feces","Sep2024","Pv18-0058","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0047","feces","Sep2024","Pv18-0059","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0048","feces","Sep2024","Pv18-0060","SPS","Commencement Bay","7","May","2018",10,8.62,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0049","feces","Sep2024","Pv18-0061","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0050","feces","Sep2024","Pv18-0062","SPS","Commencement Bay","7","May","2018",14,12.07,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0051","feces","Sep2024","Pv18-0063","SPS","Commencement Bay","7","May","2018",3,2.59,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0052","feces","Sep2024","Pv18-0064","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0053","feces","Sep2024","Pv18-0065","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0054","feces","Sep2024","Pv18-0066","SPS","Commencement Bay","7","May","2018",9,7.76,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0055","feces","Sep2024","Pv18-0067","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0056","feces","Sep2024","Pv18-0068","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0057","feces","Sep2024","Pv18-0069","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0058","feces","Sep2024","Pv18-0070","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0059","feces","Sep2024","Pv18-0071","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0060","feces","Sep2024","Pv18-0072","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,3,0,1,"Male","Male","Unk",""
"18OO0061","feces","Sep2024","Pv18-0073","SPS","Commencement Bay","7","May","2018",12,10.34,NA,NA,NA,1,0,1,NA,NA,"Unk",""
"18OO0062","feces","Sep2024","Pv18-0074","SPS","Commencement Bay","7","May","2018",3,2.59,"T",NA,NA,6,0,1,"Male","Male","Unk",""
"18OO0063","feces","Sep2024","Pv18-0075","SPS","Commencement Bay","7","May","2018",0,0,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0064","feces","Sep2024","Pv18-0076","SPS","Commencement Bay","7","May","2018",10,8.62,"T",NA,NA,5,0,0,"Male","Male","Unk",""
"18OO0065","feces","Sep2024","Pv18-0077","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0066","feces","Sep2024","Pv18-0078","SPS","Commencement Bay","7","May","2018",7,6.03,"T",NA,NA,3,0,0,"Male","Male","Unk",""
"18OO0067","feces","Sep2024","Pv18-0079","SPS","Commencement Bay","7","May","2018",1,0.86,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0068","feces","Sep2024","Pv18-0080","SPS","Commencement Bay","7","May","2018",6,5.17,NA,NA,NA,0,2,0,NA,NA,"Unk",""
"18OO0069","feces","Sep2024","Pv18-0081","SPS","Commencement Bay","7","May","2018",8,6.9,NA,NA,NA,0,1,1,NA,NA,"Unk",""
"18OO0070","feces","Sep2024","Pv18-0082","SPS","Commencement Bay","7","May","2018",15,12.93,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0071","feces","Sep2024","Pv18-0083","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0072","feces","Sep2024","Pv18-0084","SPS","Commencement Bay","7","May","2018",14,12.07,"T",NA,NA,9,0,0,"Male","Male","Unk",""
"18OO0073","feces","Sep2024","Pv18-0085","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,2,1,0,NA,"Maybe_Male","Unk",""
"18OO0074","feces","Sep2024","Pv18-0086","SPS","Commencement Bay","7","May","2018",7,6.03,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0075","feces","Sep2024","Pv18-0087","SPS","Commencement Bay","7","May","2018",10,8.62,"T",NA,NA,6,0,0,"Male","Male","Unk",""
"18OO0076","feces","Sep2024","Pv18-0088","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0077","feces","Sep2024","Pv18-0089","SPS","Commencement Bay","7","May","2018",4,3.45,NA,NA,NA,2,0,0,NA,"Maybe_Male","Unk",""
"18OO0078","feces","Sep2024","Pv18-0090","SPS","Commencement Bay","7","May","2018",8,6.9,"T",NA,NA,4,0,1,"Male","Male","Unk",""
"18OO0079","feces","Sep2024","Pv18-0091","SPS","Commencement Bay","7","May","2018",8,6.9,NA,NA,NA,1,1,0,NA,NA,"Unk",""
"18OO0080","feces","Sep2024","Pv18-0092","SPS","Commencement Bay","7","May","2018",34,29.31,"T",NA,NA,17,0,0,"Male","Male","Unk",""
"18OO0081","feces","Sep2024","Pv18-0093","SPS","Commencement Bay","7","May","2018",2,1.72,NA,NA,NA,1,0,0,NA,NA,"Unk",""
"18OO0082","feces","Sep2024","Pv18-0094","SPS","Commencement Bay","7","May","2018",11,9.48,NA,NA,NA,0,0,0,NA,NA,"Unk",""
"18OO0083","feces","Sep2024","Pv18-0095","SPS","Commencement Bay","7","May","2018",15,12.93,"T",NA,NA,7,1,0,"Male","Male","Unk",""
"18OO0084","feces","Sep2024","Pv18-0096","SPS","Commencement Bay","7","May","2018",5,4.31,NA,NA,NA,0,1,0,NA,NA,"Unk",""
"18OO0085","feces","Sep2024","Pv18-0097","SPS","Commencement Bay","7","May","2018",3,2.59,NA,NA,NA,0,0,0,NA,NA,"Unk",""
