contig  chromosome
ML169390.1	NW_022589704.1
ML169391.1	NW_022589705.1
ML169392.1	NW_022589706.1
ML169393.1	NW_022589707.1
ML169394.1	NW_022589708.1
ML169395.1	NW_022589709.1
ML169396.1	NW_022589710.1
ML169397.1	NW_022589711.1
ML169398.1	NW_022589712.1
ML169399.1	NW_022589713.1
ML169400.1	NW_022589714.1
ML169401.1	NW_022589715.1
ML169402.1	NW_022589716.1
ML169403.1	NW_022589717.1
ML169404.1	NW_022589718.1
ML169405.1	NW_022589719.1
ML169406.1	NW_022589720.1
ML169407.1	NW_022589721.1
ML169408.1	NW_022589722.1
ML169409.1	NW_022589723.1
ML169410.1	NW_022589724.1
ML169411.1	NW_022589725.1
ML169412.1	NW_022589726.1
ML169413.1	NW_022589727.1
ML169414.1	NW_022589728.1
ML169415.1	NW_022589729.1
ML169416.1	NW_022589730.1
ML169417.1	NW_022589731.1
ML169418.1	NW_022589732.1
ML169419.1	NW_022589733.1
ML169420.1	NW_022589734.1
ML169421.1	NW_022589735.1
ML169422.1	NW_022589736.1
ML169423.1	NW_022589737.1
ML169424.1	NW_022589738.1
ML169425.1	NW_022589739.1
ML169426.1	NW_022589740.1
ML169427.1	NW_022589741.1
ML169428.1	NW_022589742.1
ML169429.1	NW_022589743.1
ML169430.1	NW_022589744.1
ML169431.1	NW_022589745.1
ML169432.1	NW_022589746.1
ML169433.1	NW_022589747.1
ML169434.1	NW_022589748.1
ML169435.1	NW_022589749.1
ML169436.1	NW_022589750.1
ML169437.1	NW_022589751.1
ML169438.1	NW_022589752.1
ML169439.1	NW_022589753.1
ML169440.1	NW_022589754.1
ML169441.1	NW_022589755.1
ML169442.1	NW_022589756.1
ML169443.1	NW_022589757.1
ML169444.1	NW_022589758.1
ML169445.1	NW_022589759.1
ML169446.1	NW_022589760.1
ML169447.1	NW_022589761.1
ML169448.1	NW_022589762.1
ML169449.1	NW_022589763.1
ML169450.1	NW_022589764.1
ML169451.1	NW_022589765.1
ML169452.1	NW_022589766.1
ML169453.1	NW_022589767.1
ML169454.1	NW_022589768.1
ML169455.1	NW_022589769.1
ML169456.1	NW_022589770.1
ML169457.1	NW_022589771.1
ML169458.1	NW_022589772.1
ML169459.1	NW_022589773.1
ML169460.1	NW_022589774.1
ML169461.1	NW_022589775.1
ML169462.1	NW_022589776.1
ML169463.1	NW_022589777.1
ML169464.1	NW_022589778.1
ML169465.1	NW_022589779.1
ML169466.1	NW_022589780.1
ML169467.1	NW_022589781.1
ML169468.1	NW_022589782.1
ML169469.1	NW_022589783.1
ML169470.1	NW_022589784.1
ML169471.1	NW_022589785.1
ML169472.1	NW_022589786.1
ML169473.1	NW_022589787.1
